iter	Passed	Remaining
0	0	69
1	1	58
2	1	53
3	2	48
4	2	50
5	3	49
6	3	47
7	4	46
8	4	45
9	4	44
10	5	43
11	5	42
12	6	41
13	6	41
14	7	40
15	7	39
16	7	39
17	8	38
18	8	37
19	9	37
20	9	36
21	10	36
22	10	35
23	11	35
24	11	35
25	12	34
26	12	34
27	13	33
28	13	32
29	13	32
30	14	32
31	14	31
32	15	31
33	15	30
34	16	29
35	16	29
36	16	28
37	17	28
38	17	27
39	18	27
40	18	27
41	18	26
42	19	25
43	19	25
44	20	24
45	20	24
46	21	23
47	21	23
48	22	22
49	22	22
50	22	21
51	23	21
52	23	21
53	24	20
54	24	20
55	24	19
56	25	19
57	26	18
58	26	18
59	27	18
60	27	17
61	28	17
62	28	16
63	28	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	14
69	31	13
70	32	13
71	32	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	37	7
84	38	6
85	38	6
86	39	5
87	39	5
88	40	4
89	40	4
90	40	4
91	41	3
92	41	3
93	42	2
94	42	2
95	43	1
96	43	1
97	43	0
98	44	0
99	44	0
